Configuration	RTOS_BATHROOM_v1_1
STM32CubeMX 	4.27.0
Date	01/03/2021
MCU	STM32F103C8Tx



PERIPHERALS	MODES	FUNCTIONS	PINS
CAN	Master	CAN_RX	PA11
CAN	Master	CAN_TX	PA12
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PD0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PD1-OSC_OUT
RCC	Crystal/Ceramic Resonator	RCC_OSC32_IN	PC14-OSC32_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC32_OUT	PC15-OSC32_OUT
SPI1	Full-Duplex Master	SPI1_MISO	PA6
SPI1	Full-Duplex Master	SPI1_MOSI	PA7
SPI1	Full-Duplex Master	SPI1_SCK	PA5
SPI2	Full-Duplex Master	SPI2_MISO	PB14
SPI2	Full-Duplex Master	SPI2_MOSI	PB15
SPI2	Full-Duplex Master	SPI2_SCK	PB13
SYS	Trace Asynchronous Sw	SYS_JTMS-SWDIO	PA13
SYS	Trace Asynchronous Sw	SYS_JTCK-SWCLK	PA14
SYS	Trace Asynchronous Sw	SYS_JTDO-TRACESWO	PB3
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
USART1	Asynchronous	USART1_RX	PA10
USART1	Asynchronous	USART1_TX	PA9
USART2	Asynchronous	USART2_RX	PA3
USART2	Asynchronous	USART2_TX	PA2
USART3	Single Wire (Half-Duplex)	USART3_TX	PB10



Pin Nb	PINs	FUNCTIONs	LABELs
3	PC14-OSC32_IN	RCC_OSC32_IN	
4	PC15-OSC32_OUT	RCC_OSC32_OUT	
5	PD0-OSC_IN	RCC_OSC_IN	
6	PD1-OSC_OUT	RCC_OSC_OUT	
12	PA2	USART2_TX	
13	PA3	USART2_RX	
14	PA4	GPIO_Output	SPI1_CS
15	PA5	SPI1_SCK	
16	PA6	SPI1_MISO	
17	PA7	SPI1_MOSI	
18	PB0	GPIO_Output	BOLLER_T
19	PB1	GPIO_Output	BOLLER_R
20	PB2	GPIO_Output	SPI2_IRQ
21	PB10	USART3_TX	
22	PB11	GPIO_Output	SPI2_CE
25	PB12	GPIO_Output	SPI2_CS
26	PB13	SPI2_SCK	
27	PB14	SPI2_MISO	
28	PB15	SPI2_MOSI	
29	PA8	GPIO_Output	rs485_de
30	PA9	USART1_TX	
31	PA10	USART1_RX	
32	PA11	CAN_RX	
33	PA12	CAN_TX	
34	PA13	SYS_JTMS-SWDIO	
37	PA14	SYS_JTCK-SWCLK	
38	PA15	GPIO_Output	DHT22
39	PB3	SYS_JTDO-TRACESWO	
40	PB4	GPIO_Input	boiler detector
41	PB5	GPIO_Output	led
42	PB6	I2C1_SCL	
43	PB7	I2C1_SDA	
45	PB8	GPIO_Input	cold meter
46	PB9	GPIO_Input	hot meter
